date,a00,a02,a05,a10,a15,a30,a45,a60,t00,t02,t05,t10,t15,t30,t45,t60,tsum
20070611,715737,23560,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
20070612,698662,27666,12969,0,0,0,0,0,0,2,1,0,0,0,0,0,3
20070613,728286,9474,1537,0,0,0,0,0,1,4,1,0,0,0,0,0,6
20070614,715478,23819,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
20070615,722392,16905,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
20070616,693406,25208,12514,8169,0,0,0,0,0,1,2,2,0,0,0,0,5
20070617,707310,18485,13502,0,0,0,0,0,1,0,6,0,0,0,0,0,7
20070618,707802,31495,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4
20070619,707931,31366,0,0,0,0,0,0,2,5,0,0,0,0,0,0,7
20070620,712565,15905,10827,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070621,714727,15952,8618,0,0,0,0,0,1,2,6,0,0,0,0,0,9
20070622,730266,9031,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
20070623,732405,4504,2388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070624,722329,8922,8046,0,0,0,0,0,1,4,0,0,0,0,0,0,5
20070625,710017,23735,5545,0,0,0,0,0,3,0,0,0,0,0,0,0,3
20070626,722094,17203,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
20070627,732941,6356,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070628,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070629,735890,2576,831,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070630,739297,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
20070701,729468,5361,4468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070702,725512,8652,5133,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070703,712264,18190,8843,0,0,0,0,0,13,0,1,0,0,0,0,0,14
20070704,724525,8356,6416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070705,734873,4424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070706,735257,4040,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070707,723438,10741,5118,0,0,0,0,0,3,0,0,0,0,0,0,0,3
20070708,724672,13194,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070709,715092,18166,6039,0,0,0,0,0,1,1,1,0,0,0,0,0,3
20070710,726702,10821,1774,0,0,0,0,0,0,1,0,0,0,0,0,0,1
20070711,724793,12335,2169,0,0,0,0,0,3,0,0,0,0,0,0,0,3
20070712,712096,21984,5217,0,0,0,0,0,0,2,0,0,0,0,0,0,2
20070713,727654,11643,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070714,735286,4011,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
20070715,721262,18035,0,0,0,0,0,0,1,9,0,0,0,0,0,0,10
20070716,724148,12272,2877,0,0,0,0,0,2,2,0,0,0,0,0,0,4
20070717,726541,8798,3958,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070718,729165,10132,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
20070719,728742,10555,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070720,739297,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070721,734894,4403,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
20070722,739297,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070723,725289,14008,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070724,739297,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070725,739297,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
20070726,736756,2541,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
20070727,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
